2017-01-16 18:03:17 status unpacked base-files:amd64 8+deb8u7
2017-01-16 18:03:17 status half-installed base-files:amd64 8+deb8u7
2017-01-16 18:03:17 status half-installed base-files:amd64 8+deb8u7
2017-01-16 18:03:18 status unpacked base-files:amd64 8+deb8u7
2017-01-16 18:03:18 status unpacked base-files:amd64 8+deb8u7
2017-01-16 18:03:18 upgrade base-passwd:amd64 3.5.37 3.5.37
2017-01-16 18:03:18 status half-configured base-passwd:amd64 3.5.37
2017-01-16 18:03:18 status unpacked base-passwd:amd64 3.5.37
2017-01-16 18:03:18 status half-installed base-passwd:amd64 3.5.37
2017-01-16 18:03:18 status half-installed base-passwd:amd64 3.5.37
2017-01-16 18:03:19 status unpacked base-passwd:amd64 3.5.37
2017-01-16 18:03:19 status unpacked base-passwd:amd64 3.5.37
2017-01-16 18:03:19 install bash:amd64 <none> 4.3-11+deb8u1
2017-01-16 18:03:19 status half-installed bash:amd64 4.3-11+deb8u1
2017-01-16 18:03:21 status unpacked bash:amd64 4.3-11+deb8u1
2017-01-16 18:03:21 status unpacked bash:amd64 4.3-11+deb8u1
2017-01-16 18:03:21 install libbz2-1.0:amd64 <none> 1.0.6-7+b3
2017-01-16 18:03:21 status half-installed libbz2-1.0:amd64 1.0.6-7+b3
2017-01-16 18:03:22 status unpacked libbz2-1.0:amd64 1.0.6-7+b3
2017-01-16 18:03:22 status unpacked libbz2-1.0:amd64 1.0.6-7+b3
2017-01-16 18:03:22 install libdebconfclient0:amd64 <none> 0.192
2017-01-16 18:03:22 status half-installed libdebconfclient0:amd64 0.192
2017-01-16 18:03:22 status unpacked libdebconfclient0:amd64 0.192
2017-01-16 18:03:22 status unpacked libdebconfclient0:amd64 0.192
2017-01-16 18:03:23 install coreutils:amd64 <none> 8.23-4
2017-01-16 18:03:23 status half-installed coreutils:amd64 8.23-4
2017-01-16 18:03:26 status unpacked coreutils:amd64 8.23-4
2017-01-16 18:03:26 status unpacked coreutils:amd64 8.23-4
2017-01-16 18:03:26 install libcryptsetup4:amd64 <none> 2:1.6.6-5
2017-01-16 18:03:26 status half-installed libcryptsetup4:amd64 2:1.6.6-5
2017-01-16 18:03:26 status unpacked libcryptsetup4:amd64 2:1.6.6-5
2017-01-16 18:03:26 status unpacked libcryptsetup4:amd64 2:1.6.6-5
2017-01-16 18:03:27 install dash:amd64 <none> 0.5.7-4+b1
2017-01-16 18:03:27 status half-installed dash:amd64 0.5.7-4+b1
2017-01-16 18:03:27 status unpacked dash:amd64 0.5.7-4+b1
2017-01-16 18:03:27 status unpacked dash:amd64 0.5.7-4+b1
2017-01-16 18:03:28 install libdb5.3:amd64 <none> 5.3.28-9
2017-01-16 18:03:28 status half-installed libdb5.3:amd64 5.3.28-9
2017-01-16 18:03:28 status unpacked libdb5.3:amd64 5.3.28-9
2017-01-16 18:03:28 status unpacked libdb5.3:amd64 5.3.28-9
